
                     __     _
   ____  __  _______/ /__  (_)
  / __ \/ / / / ___/ / _ \/ /
 / / / / /_/ / /__/ /  __/ /
/_/ /_/\__,_/\___/_/\___/_/   v3.11.1

		projectdiscovery.io

[[34mINF[0m] Current nuclei version: v3.11.1 ([92mlatest[0m)
[[34mINF[0m] Current nuclei-templates version: v10.4.8 ([92mlatest[0m)
[[34mINF[0m] New templates added in latest release: 112
[[34mINF[0m] Templates loaded for current scan: 10730
[[34mINF[0m] Executing 10730 signed templates from projectdiscovery/nuclei-templates
[[34mINF[0m] Targets loaded for current scan: 1
[[34mINF[0m] Templates clustered: 2468 (Reduced 2336 Requests)
[[34mINF[0m] Using Interactsh Server: oast.site
[0:00:05] | Templates: 10730 | Hosts: 1 | RPS: 20 | Matched: 0 | Errors: 2 | Requests: 106/18906 (0%)
[0:01:40] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 3 | Requests: 2113/18906 (11%)
[0:01:45] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 4 | Requests: 2273/18906 (12%)
[0:01:50] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 4 | Requests: 2391/18906 (12%)
[0:01:55] | Templates: 10730 | Hosts: 1 | RPS: 21 | Matched: 0 | Errors: 5 | Requests: 2524/18906 (13%)
[0:02:00] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 2652/18906 (14%)
[0:02:05] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 2817/18906 (14%)
[0:02:10] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 2990/18906 (15%)
[0:02:15] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 3100/18906 (16%)
[0:02:20] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 3225/18906 (17%)
[0:02:25] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 3320/18906 (17%)
[0:02:30] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 3407/18906 (18%)
[0:02:35] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 3530/18906 (18%)
[0:02:40] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 3631/18906 (19%)
[0:02:45] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 3676/18906 (19%)
[0:02:50] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 3774/18906 (19%)
[0:02:55] | Templates: 10730 | Hosts: 1 | RPS: 22 | Matched: 0 | Errors: 5 | Requests: 4015/18906 (21%)
[0:03:00] | Templates: 10730 | Hosts: 1 | RPS: 23 | Matched: 0 | Errors: 5 | Requests: 4157/18906 (21%)
[0:03:05] | Templates: 10730 | Hosts: 1 | RPS: 23 | Matched: 0 | Errors: 5 | Requests: 4321/18906 (22%)
[0:03:10] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 5 | Requests: 4598/18906 (24%)
[0:03:15] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 6 | Requests: 4752/18906 (25%)
[0:03:20] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 6 | Requests: 4817/18906 (25%)
[0:03:25] | Templates: 10730 | Hosts: 1 | RPS: 23 | Matched: 0 | Errors: 6 | Requests: 4906/18906 (25%)
[0:03:30] | Templates: 10730 | Hosts: 1 | RPS: 23 | Matched: 0 | Errors: 6 | Requests: 5035/18906 (26%)
[0:03:35] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 8 | Requests: 5182/18906 (27%)
[0:03:40] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 8 | Requests: 5320/18906 (28%)
[0:03:45] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 5443/18906 (28%)
[0:03:50] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 5637/18906 (29%)
[0:03:55] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 5798/18906 (30%)
[0:04:00] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 5989/18906 (31%)
[0:04:05] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 9 | Requests: 6134/18906 (32%)
[0:04:10] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 9 | Requests: 6266/18906 (33%)
[0:04:15] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 6375/18906 (33%)
[0:04:20] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 6501/18906 (34%)
[0:04:25] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 9 | Requests: 6639/18906 (35%)
[0:04:30] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 6733/18906 (35%)
[0:04:35] | Templates: 10730 | Hosts: 1 | RPS: 25 | Matched: 0 | Errors: 9 | Requests: 6896/18906 (36%)
[0:04:40] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 6993/18906 (36%)
[0:04:45] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 7111/18906 (37%)
[0:04:50] | Templates: 10730 | Hosts: 1 | RPS: 24 | Matched: 0 | Errors: 9 | Requests: 7233/18906 (38%)
